stock_name,nse_code,isin,sector_name,industry_name,current_price,market_capitalization,trendlyne_momentum_score,trendlyne_durability_score,trendlyne_valuation_score,day_rsi,day_adx,day_macd,day_macd_signal_line,day_sma50,day_sma200,day_volume,week_volume_avg,month_volume_avg,year_1_high,rr_nifty50_year_pct,sales_growth_3y_pct,sales_growth_5y_pct,profit_growth_3y_pct,profit_growth_5y_pct,eps_growth_3y_pct,eps_growth_5y_pct,sales_q_latest,sales_q_prev,sales_q_yoy_base,profit_q_latest,profit_q_prev,profit_q_yoy_base,eps_q_latest,eps_q_prev,eps_q_yoy_base,roce,roce_3y_avg,roce_5y_avg,roe,roe_3y_avg,opm_current,opm_last_year,opm_5y_avg,cfo_latest,cfo_prev,fcf_latest,fcf_prev,fcf_3y,debt_to_equity,current_ratio,interest_coverage,altman_z_score,piotroski_score,peg_ratio,price_to_fcf,price_to_cfo,price_to_sales,pe_ttm,promoter_holding_latest_pct,promoter_holding_change_qoq_pct,fii_holding_change_qoq_pct,mf_holding_change_qoq_pct
Hindustan Unilever Limited,HINDUNILVR,INE030A01027,Consumer Staples,Food Processing,2310.80,542000,38,96,25,32.4,13.8,-18.2,-14.1,2450.60,2380.40,1100000,1350000,1280000,2720.00,-15.2,8.4,7.8,9.2,8.5,8.8,8.1,15200,14900,14300,2510,2480,2320,10.6,10.4,9.8,39.4,38.2,36.5,29.4,28.5,23.5,23.1,22.8,3200,3050,3010,2850,8800,0.01,2.85,75.4,14.25,8,3.24,42.5,35.4,8.12,48.5,61.9,0.0,0.05,-0.04
Bharti Airtel Limited,BHARTIARTL,INE397D01024,Communication Services,Media,1250.50,712000,85,68,30,73.5,41.2,22.4,14.8,1140.20,950.40,4300000,3800000,4100000,1320.00,52.4,13.5,11.8,22.4,18.5,20.2,16.8,38200,36900,34100,3240,2900,2540,5.8,5.2,4.5,14.2,13.2,11.8,12.1,10.8,19.2,18.5,17.4,11200,10400,6200,5400,18500,1.85,0.85,2.1,1.45,5,1.15,22.5,18.4,1.85,38.4,55.0,0.0,0.12,-0.08
Maruti Suzuki India,MARUTI,INE585B01010,Consumer Discretionary,Automobile,12250.00,385000,82,78,38,68.4,32.5,75.4,45.2,11500.00,10100.00,450000,380000,410000,13100.00,32.1,12.4,10.5,20.5,18.4,19.4,17.2,32400,30100,27500,3120,2890,2420,102.5,95.4,80.4,16.8,15.4,14.1,13.8,12.5,10.5,9.8,9.2,4200,3950,2850,2500,8100,0.05,2.15,18.5,4.85,8,1.25,28.5,24.2,1.22,26.5,56.4,0.0,0.15,-0.02
Sun Pharmaceutical,SUNPHARMA,INE044A01036,Health Care,Pharmaceuticals,1460.20,350000,76,84,45,64.2,31.4,12.4,8.2,1380.20,1210.40,1520000,1320000,1410000,1620.00,38.4,11.2,10.1,14.6,13.2,13.8,12.4,11800,10900,10100,2420,2240,2010,10.1,9.4,8.4,17.8,16.5,15.2,16.2,15.1,22.4,21.5,20.2,2800,2500,2200,2050,6500,0.12,2.35,14.2,5.12,8,2.25,28.4,24.5,2.45,24.5,54.5,0.0,0.22,0.15
Coal India Limited,COALINDIA,INE522F01014,Energy,Metals,465.40,286000,84,65,75,70.5,38.4,11.5,6.2,420.50,332.10,8500000,6200000,6900000,495.00,62.4,7.8,6.2,29.4,22.5,27.5,20.4,28400,27200,25600,6810,6420,5510,11.1,10.4,8.9,42.5,39.4,36.1,34.2,31.8,24.5,22.1,21.5,8400,7800,7900,7200,22000,0.01,1.98,32.4,3.22,7,0.56,12.4,10.5,1.01,8.4,66.1,0.0,-0.12,0.05
Asian Paints Limited,ASIANPAINT,INE021A01026,Materials,Chemicals,2810.00,269000,42,91,32,36.2,14.5,-8.4,-5.2,2940.20,2890.60,820000,95000,910000,3450.00,-12.4,12.5,11.2,15.4,13.8,14.2,12.5,9100,8800,8100,1210,1150,1020,12.6,12.0,10.6,33.5,31.8,30.2,26.4,25.1,20.2,19.5,18.8,1850,1620,1540,1350,4200,0.05,2.15,24.5,7.12,9,2.45,34.2,28.5,4.85,55.2,52.6,0.0,-0.05,0.02
Power Grid Corporation,POWERGRID,INE752E01010,Utilities,Renewable Energy,292.50,272000,72,70,68,59.2,26.4,3.2,1.8,275.40,241.50,5400000,4900000,5100000,325.00,31.2,8.4,7.5,11.2,10.1,10.8,9.5,11800,11300,10500,4210,3980,3640,4.5,4.2,3.8,11.2,10.8,9.5,18.5,17.2,48.5,47.2,46.1,3800,3400,2850,2600,8200,1.25,1.10,3.2,1.65,6,1.45,21.5,19.2,3.12,14.2,51.3,0.0,0.08,0.04
Aurobindo Pharma,AUROPHARMA,INE406A01015,Health Care,Pharmaceuticals,1185.30,69500,71,68,48,58.2,25.6,4.5,2.1,1125.40,985.60,1120000,1010000,1050000,1295.00,34.2,10.4,8.5,14.5,12.1,13.2,11.4,7350,6950,6420,1280,1120,980,21.8,19.1,16.7,14.8,13.5,12.4,13.1,12.0,17.4,16.5,15.8,1450,1320,1120,950,3100,0.22,1.95,8.5,2.65,6,1.15,16.4,14.2,1.12,18.5,51.8,0.0,0.18,0.11
Wipro Limited,WIPRO,INE075A01022,Information Technology,IT Services,465.15,243000,58,82,38,49.2,19.5,1.2,-0.5,455.40,432.10,2800000,2400000,2600000,545.00,4.8,8.4,7.5,9.2,8.1,8.8,7.8,22100,21800,20500,2830,2700,2650,5.4,5.1,4.7,21.4,20.2,19.1,17.1,16.2,19.5,18.8,18.1,3400,3200,2950,2750,8900,0.15,2.15,14.8,3.95,7,1.85,21.5,19.2,2.22,18.2,72.9,0.0,0.04,-0.05
Bharat Electronics,BEL,INE263A01024,Defence Manufacturing,Electronics,228.40,167000,81,76,35,69.4,36.5,8.4,5.2,205.20,154.60,4200000,3600000,3800000,260.00,74.5,14.5,12.5,22.4,19.5,21.2,18.4,4800,4500,4100,820,740,650,1.1,1.0,0.9,28.4,26.5,24.2,21.5,20.1,19.5,18.8,18.0,1120,980,850,710,2400,0.02,2.35,35.4,5.85,8,1.42,28.4,24.5,4.12,25.4,51.1,0.0,-0.04,0.08
HDFC Life Insurance,HDFCLIFE,INE795G01014,Financials,Insurance,585.50,126000,46,65,40,42.4,15.2,-2.1,-1.0,612.40,580.60,1120000,1250000,1180000,695.00,-8.4,19.5,17.2,14.2,12.8,14.1,12.5,6800,6430,5200,360,320,310,1.7,1.5,1.4,8.4,8.0,7.5,11.2,10.6,8.5,8.1,7.8,420,380,260,210,800,0.01,2.85,0.0,1.65,6,3.45,45.2,38.1,1.85,42.5,50.4,0.0,0.08,0.12
Bharat Petroleum,BPCL,INE029A01011,Energy,Renewable Energy,618.40,134000,69,60,55,57.1,26.8,3.2,1.2,592.50,510.60,245000,225000,235000,685.00,24.5,10.4,9.2,28.4,22.5,21.5,17.4,28400,27250,25600,1950,1350,1150,9.0,6.2,5.3,16.5,14.2,12.5,18.4,14.2,8.5,6.2,5.3,1800,1400,1010,850,2400,0.55,1.22,4.5,1.92,6,1.22,12.2,10.5,1.05,10.5,52.9,0.0,0.05,0.04
